RouteID,POL,POD,High_Incidents,Medium_Incidents,Low_Incidents,No_Of_Travels,No_Of_Transhipments,Average_Transit_Days,Distance,Crew_Experience_Level,Training_Programs,Navigational_Risks,Carbon_Emissions,Operational_Cost,Regulatory_Compliance,Previous_Safety_Awards,Emergency_Response_Plans,Cargo_Type,Ship_Type,Average_Vessel_Age,Cargo_Value,RiskScore,Risk_Category
722,PortA,PortY,0,1,6,32,0,17,1363,14,regular,congested areas,936,388838,non-compliant,no,in place,hazardous,bulk carrier,13,341187,35,Medium
723,PortB,PortX,0,0,5,39,0,14,1658,10,irregular,congested areas,872,370860,compliant,yes,not in place,hazardous,container,18,508850,33,Medium
724,PortB,PortX,0,3,1,52,0,19,1105,12,regular,congested areas,716,413378,compliant,yes,in place,non-hazardous,container,12,390672,38,Medium
725,PortA,PortX,0,4,3,77,0,30,1678,18,regular,clear,905,255531,non-compliant,no,not in place,hazardous,bulk carrier,13,253811,18,Low
726,PortC,PortY,0,2,4,30,0,16,1257,12,regular,congested areas,967,308782,compliant,no,not in place,hazardous,container,6,363470,25,Low
727,PortA,PortZ,0,3,1,52,0,26,1646,15,irregular,clear,693,357627,non-compliant,no,in place,hazardous,container,6,338149,31,Medium
728,PortA,PortY,1,2,1,82,0,26,1502,17,irregular,congested areas,767,513910,non-compliant,no,in place,non-hazardous,container,12,241592,50,Medium
729,PortA,PortZ,1,3,6,16,1,17,1309,12,regular,congested areas,802,360183,compliant,no,in place,hazardous,bulk carrier,12,385772,31,Medium
730,PortB,PortZ,0,2,2,25,2,22,1418,15,regular,clear,940,454428,non-compliant,yes,not in place,non-hazardous,bulk carrier,13,352210,43,Medium
731,PortB,PortX,1,1,3,32,0,26,1637,16,irregular,clear,748,373366,compliant,no,in place,hazardous,container,18,405642,33,Medium
732,PortA,PortX,1,0,1,67,1,18,1521,15,regular,congested areas,782,329774,compliant,yes,not in place,hazardous,container,6,369335,27,Low
733,PortA,PortX,0,0,4,96,1,19,1616,20,regular,clear,751,344506,non-compliant,yes,not in place,non-hazardous,container,20,284889,29,Low
734,PortC,PortY,0,1,0,40,2,17,1895,11,irregular,congested areas,673,357868,compliant,yes,in place,non-hazardous,bulk carrier,4,426833,31,Medium
735,PortB,PortY,0,3,3,78,0,15,1187,17,irregular,clear,964,412669,non-compliant,yes,not in place,hazardous,bulk carrier,13,287560,38,Medium
736,PortB,PortX,1,4,2,15,2,17,1823,14,irregular,clear,873,461970,non-compliant,no,not in place,hazardous,container,5,40032,44,Medium
737,PortB,PortY,1,3,5,74,0,15,1520,16,regular,congested areas,641,396917,compliant,no,in place,hazardous,container,15,362865,36,Medium
738,PortB,PortY,0,0,1,68,1,20,1320,15,irregular,congested areas,811,459695,compliant,no,not in place,non-hazardous,container,4,294592,43,Medium
739,PortA,PortZ,1,4,4,37,1,16,1233,13,irregular,clear,700,292227,compliant,yes,not in place,hazardous,container,-1,388213,22,Low
740,PortA,PortY,1,2,3,27,1,20,1462,15,irregular,congested areas,644,344323,non-compliant,yes,in place,non-hazardous,bulk carrier,12,549887,29,Low
741,PortC,PortZ,1,4,4,97,1,13,1684,11,irregular,clear,681,319694,non-compliant,no,in place,hazardous,bulk carrier,11,552773,26,Low
742,PortB,PortX,0,3,4,86,2,21,1474,16,irregular,clear,616,391829,non-compliant,yes,in place,hazardous,container,17,333487,35,Medium
743,PortB,PortY,1,1,6,19,0,23,1802,15,irregular,congested areas,672,334650,non-compliant,no,not in place,hazardous,bulk carrier,12,267348,28,Low
744,PortA,PortZ,1,2,5,16,0,12,1209,16,irregular,clear,613,428805,non-compliant,yes,not in place,hazardous,bulk carrier,8,408468,39,Medium
745,PortC,PortY,1,3,2,46,2,21,1497,17,regular,congested areas,756,291168,non-compliant,yes,not in place,hazardous,container,9,312977,22,Low
746,PortA,PortZ,1,2,3,54,0,24,1249,15,irregular,congested areas,822,372901,non-compliant,yes,in place,hazardous,container,28,389177,33,Medium
747,PortB,PortZ,1,4,1,95,1,15,1572,15,regular,clear,731,419144,compliant,yes,not in place,hazardous,container,7,283913,38,Medium
748,PortB,PortY,1,0,2,25,0,26,1677,13,regular,congested areas,937,203529,non-compliant,yes,not in place,non-hazardous,container,14,375069,12,Low
749,PortC,PortX,1,3,1,97,1,21,1415,13,irregular,clear,975,533170,non-compliant,yes,not in place,hazardous,bulk carrier,14,268802,53,Medium
750,PortA,PortZ,0,1,0,23,2,17,979,17,regular,clear,975,350769,compliant,yes,in place,hazardous,container,14,468425,30,Low
751,PortB,PortX,0,4,4,20,0,19,1539,17,irregular,congested areas,646,202546,non-compliant,no,in place,hazardous,container,14,291002,11,Low
752,PortB,PortY,1,3,0,92,2,22,1587,14,regular,congested areas,706,383453,non-compliant,no,in place,hazardous,container,10,416110,34,Medium
753,PortC,PortY,0,1,6,96,0,20,1580,15,irregular,clear,707,363851,compliant,yes,not in place,non-hazardous,container,3,223523,32,Medium
754,PortB,PortX,1,3,4,43,1,22,1747,13,regular,congested areas,864,364854,non-compliant,yes,not in place,non-hazardous,bulk carrier,12,428117,32,Medium
755,PortB,PortY,1,4,5,69,2,16,1285,17,irregular,clear,804,441963,compliant,no,in place,hazardous,container,11,253361,41,Medium
756,PortA,PortZ,1,3,2,22,0,20,1636,16,irregular,clear,678,428601,non-compliant,yes,in place,hazardous,container,12,376117,40,Medium
757,PortC,PortX,0,2,1,48,1,14,1738,18,regular,clear,754,396446,non-compliant,no,not in place,non-hazardous,bulk carrier,14,452320,36,Medium
758,PortC,PortY,1,4,6,53,2,19,1144,13,regular,clear,870,402512,compliant,no,in place,non-hazardous,container,9,330001,36,Medium
759,PortC,PortY,1,3,5,37,2,16,1563,14,irregular,clear,846,354005,compliant,no,not in place,non-hazardous,container,8,247083,30,Medium
760,PortA,PortX,0,0,1,49,0,17,1399,15,regular,congested areas,618,512023,non-compliant,no,in place,hazardous,container,16,399681,50,Medium
761,PortC,PortZ,0,3,2,25,0,24,1483,16,irregular,clear,945,244959,non-compliant,no,in place,non-hazardous,bulk carrier,10,265901,17,Low
762,PortB,PortX,1,2,3,59,0,24,1569,14,regular,clear,625,376650,compliant,yes,in place,non-hazardous,container,9,309575,33,Medium
763,PortC,PortY,0,1,6,37,1,22,1402,13,irregular,clear,816,374029,non-compliant,yes,not in place,hazardous,container,9,376546,33,Medium
764,PortB,PortY,0,1,0,77,0,15,1364,16,regular,clear,753,439365,compliant,no,in place,hazardous,container,14,486067,41,Medium
765,PortC,PortX,1,1,0,69,2,18,1506,16,irregular,clear,753,300124,compliant,yes,not in place,hazardous,bulk carrier,10,352655,24,Low
766,PortC,PortZ,1,0,1,21,2,24,1282,13,regular,clear,773,228120,compliant,no,in place,non-hazardous,container,23,352285,15,Low
767,PortA,PortZ,1,2,1,25,0,20,1282,17,irregular,congested areas,691,383733,non-compliant,yes,in place,non-hazardous,container,12,423751,34,Medium
768,PortC,PortZ,0,4,1,62,0,29,1635,17,regular,congested areas,937,390250,non-compliant,yes,not in place,non-hazardous,container,5,355037,35,Medium
769,PortC,PortX,0,1,6,63,2,21,1270,15,irregular,clear,780,489845,non-compliant,yes,not in place,non-hazardous,bulk carrier,9,413553,47,Medium
770,PortA,PortZ,0,2,2,58,1,20,1633,15,regular,clear,730,271263,compliant,yes,in place,hazardous,bulk carrier,15,457853,20,Low
771,PortB,PortZ,1,3,3,45,0,18,1592,16,regular,clear,897,458236,non-compliant,yes,not in place,non-hazardous,container,8,317226,43,Medium
772,PortC,PortZ,0,0,0,71,0,20,1154,13,irregular,congested areas,874,540518,compliant,yes,in place,hazardous,container,11,22498,53,Medium
773,PortC,PortZ,0,2,5,93,2,19,1364,15,regular,clear,872,333189,compliant,yes,not in place,non-hazardous,bulk carrier,16,268207,28,Low
774,PortB,PortY,1,2,4,35,0,22,1738,10,regular,clear,675,270268,non-compliant,yes,not in place,non-hazardous,container,17,470868,20,Low
775,PortA,PortX,1,4,6,65,1,23,1303,16,irregular,clear,776,334773,non-compliant,no,in place,non-hazardous,bulk carrier,9,346623,28,Low
776,PortC,PortX,1,2,6,99,2,16,1407,11,irregular,clear,783,366924,compliant,no,in place,hazardous,bulk carrier,10,316086,32,Medium
777,PortA,PortZ,0,4,2,31,0,14,1592,18,irregular,clear,918,418436,non-compliant,yes,not in place,non-hazardous,bulk carrier,12,466678,38,Medium
778,PortB,PortX,1,0,0,82,2,12,1656,14,irregular,clear,730,319681,compliant,yes,not in place,hazardous,container,18,339867,26,Low
779,PortB,PortX,0,0,3,78,0,22,1449,14,regular,congested areas,962,481453,non-compliant,yes,in place,hazardous,bulk carrier,6,140746,46,Medium
780,PortA,PortY,0,3,2,90,0,15,1380,13,regular,clear,648,270810,compliant,no,not in place,hazardous,bulk carrier,13,199469,20,Low
781,PortB,PortX,1,4,5,58,0,11,1784,14,regular,clear,654,230456,non-compliant,yes,not in place,hazardous,container,12,391864,15,Low
782,PortB,PortY,1,4,0,11,1,21,1847,17,irregular,clear,753,455702,compliant,yes,not in place,non-hazardous,container,7,343310,43,Medium
783,PortC,PortX,1,1,2,62,1,29,1695,10,regular,clear,954,192803,non-compliant,no,not in place,non-hazardous,container,18,495465,10,Low
784,PortA,PortY,1,1,0,16,2,19,1517,17,regular,clear,799,347503,compliant,no,in place,hazardous,bulk carrier,16,276673,30,Low
785,PortC,PortY,1,3,0,86,0,23,1338,15,irregular,clear,907,615366,compliant,no,in place,hazardous,bulk carrier,19,319049,63,High
786,PortA,PortX,0,0,6,29,0,20,1333,12,regular,clear,955,362114,compliant,yes,not in place,non-hazardous,container,17,261549,31,Medium
787,PortC,PortY,0,1,3,39,1,19,1604,12,regular,clear,972,275235,compliant,no,not in place,non-hazardous,bulk carrier,12,297940,21,Low
788,PortB,PortY,0,2,6,84,0,23,1583,18,irregular,clear,717,353448,compliant,yes,in place,hazardous,container,15,160809,30,Medium
789,PortA,PortX,1,0,4,76,1,18,1780,13,regular,congested areas,862,361507,compliant,no,not in place,non-hazardous,container,13,311431,31,Medium
790,PortA,PortY,0,2,3,68,0,21,1630,12,irregular,congested areas,645,380092,non-compliant,yes,not in place,non-hazardous,container,7,344813,34,Medium
791,PortA,PortY,1,4,0,75,2,21,1199,17,irregular,congested areas,901,419799,compliant,yes,not in place,non-hazardous,container,5,336366,38,Medium
792,PortA,PortY,1,0,2,12,0,17,1710,15,regular,clear,955,295118,compliant,yes,not in place,hazardous,container,13,564955,23,Low
793,PortB,PortY,0,3,5,65,0,23,1300,13,regular,congested areas,999,511671,non-compliant,no,not in place,hazardous,bulk carrier,12,533348,50,Medium
794,PortB,PortY,0,4,3,88,1,19,1423,15,regular,congested areas,788,383354,non-compliant,yes,in place,hazardous,bulk carrier,10,274910,34,Medium
795,PortB,PortZ,1,4,4,26,0,16,1550,12,irregular,congested areas,909,415423,compliant,yes,not in place,hazardous,container,11,145606,38,Medium
796,PortC,PortY,0,2,0,61,0,22,1899,17,irregular,congested areas,917,316752,non-compliant,yes,not in place,hazardous,bulk carrier,20,340079,26,Low
797,PortB,PortY,1,4,5,16,1,16,2121,17,regular,clear,728,472293,non-compliant,no,not in place,non-hazardous,bulk carrier,1,387651,45,Medium
798,PortC,PortY,0,1,3,14,2,20,1621,16,regular,congested areas,648,342633,compliant,yes,in place,non-hazardous,container,15,263951,29,Low
799,PortC,PortY,0,0,6,63,2,19,1463,15,irregular,congested areas,624,385649,compliant,yes,not in place,non-hazardous,bulk carrier,16,268902,34,Medium
800,PortB,PortX,0,1,6,70,1,24,1606,18,regular,clear,865,300764,non-compliant,yes,not in place,hazardous,bulk carrier,16,508255,24,Low
801,PortB,PortZ,0,2,3,25,1,21,1677,14,regular,congested areas,717,286457,non-compliant,yes,in place,non-hazardous,container,5,324244,22,Low
802,PortB,PortX,0,2,3,76,1,19,1435,12,irregular,clear,743,425867,non-compliant,no,in place,hazardous,bulk carrier,10,416225,39,Medium
803,PortC,PortZ,1,0,3,68,1,23,1859,15,regular,congested areas,799,327359,non-compliant,yes,in place,hazardous,bulk carrier,10,256969,27,Low
804,PortA,PortY,0,4,5,56,1,25,1546,19,regular,congested areas,756,298909,non-compliant,no,in place,hazardous,bulk carrier,13,344305,23,Low
805,PortB,PortY,0,3,6,57,2,22,1599,12,regular,congested areas,947,314363,non-compliant,no,not in place,hazardous,bulk carrier,6,316366,25,Low
806,PortC,PortZ,0,2,2,73,2,20,1633,14,regular,clear,733,420039,compliant,yes,not in place,hazardous,bulk carrier,13,282462,39,Medium
807,PortC,PortZ,1,0,4,59,1,14,1584,15,irregular,congested areas,999,322953,non-compliant,no,not in place,hazardous,container,7,465530,27,Low
808,PortB,PortX,1,3,4,94,0,15,1667,14,irregular,congested areas,747,351143,compliant,no,in place,non-hazardous,container,10,211112,30,Medium
809,PortC,PortZ,1,4,0,50,1,18,1376,13,irregular,clear,935,370202,compliant,no,not in place,hazardous,container,18,380005,32,Medium
810,PortB,PortY,1,2,1,81,0,17,1388,17,irregular,congested areas,670,212336,non-compliant,yes,in place,non-hazardous,container,16,314487,13,Low
811,PortC,PortX,1,0,2,31,1,19,1279,19,regular,congested areas,832,251884,compliant,no,in place,hazardous,container,12,391482,17,Low
812,PortA,PortZ,0,0,6,63,1,20,1587,15,regular,congested areas,933,392694,non-compliant,no,not in place,non-hazardous,bulk carrier,5,315842,35,Medium
813,PortC,PortZ,0,0,0,14,2,22,1655,13,regular,congested areas,898,312873,compliant,yes,in place,hazardous,bulk carrier,13,436719,25,Low
814,PortB,PortX,0,2,0,26,0,19,1591,11,regular,congested areas,753,447339,non-compliant,yes,in place,hazardous,container,13,256029,42,Medium
815,PortA,PortZ,1,3,3,87,0,21,1834,15,irregular,clear,689,450632,compliant,no,not in place,non-hazardous,container,1,465755,42,Medium
816,PortB,PortY,1,0,1,50,2,20,1498,17,regular,clear,933,424889,non-compliant,no,not in place,hazardous,container,13,347119,39,Medium
817,PortC,PortX,0,4,6,90,2,12,1633,15,regular,clear,798,506439,compliant,no,in place,hazardous,bulk carrier,6,217149,49,Medium
818,PortA,PortZ,1,0,1,44,2,16,1281,14,irregular,congested areas,760,364253,non-compliant,yes,not in place,non-hazardous,bulk carrier,4,418021,31,Medium
819,PortA,PortY,1,3,2,49,2,19,1422,13,irregular,congested areas,625,418416,compliant,no,not in place,non-hazardous,bulk carrier,6,330115,38,Medium
820,PortC,PortZ,1,2,1,31,0,15,1639,12,irregular,congested areas,720,312208,compliant,yes,in place,hazardous,bulk carrier,1,179216,25,Low
821,PortA,PortX,0,0,0,57,0,22,1669,16,regular,congested areas,900,565351,compliant,no,in place,non-hazardous,bulk carrier,9,383246,57,Medium
822,PortA,PortZ,0,0,1,62,1,26,1441,16,irregular,congested areas,811,531223,non-compliant,no,not in place,non-hazardous,bulk carrier,6,450659,52,Medium
823,PortA,PortZ,1,4,1,19,1,24,1485,11,regular,clear,662,374861,non-compliant,yes,not in place,hazardous,container,17,478213,33,Medium
824,PortB,PortZ,1,4,4,27,2,19,1196,18,regular,clear,667,396535,non-compliant,no,in place,non-hazardous,bulk carrier,10,312164,35,Medium
825,PortB,PortY,1,0,6,89,2,25,1428,16,irregular,clear,852,476970,non-compliant,yes,not in place,hazardous,container,8,364531,46,Medium
826,PortA,PortY,1,0,6,58,2,20,1678,17,irregular,congested areas,601,355981,non-compliant,no,in place,non-hazardous,container,4,355053,31,Medium
827,PortC,PortZ,0,4,0,80,1,18,1615,12,irregular,clear,997,322419,compliant,yes,in place,hazardous,bulk carrier,9,498980,26,Low
828,PortC,PortZ,1,3,5,39,1,17,1600,12,regular,clear,707,433366,non-compliant,yes,not in place,hazardous,bulk carrier,18,268951,40,Medium
829,PortB,PortX,0,1,1,28,1,18,1509,14,regular,clear,885,371451,non-compliant,no,not in place,hazardous,bulk carrier,19,303534,33,Medium
830,PortC,PortZ,0,1,1,64,1,18,1501,16,regular,clear,648,377965,compliant,yes,not in place,non-hazardous,bulk carrier,10,266527,33,Medium
831,PortA,PortX,0,0,3,69,1,20,1367,18,irregular,congested areas,739,293512,non-compliant,no,not in place,hazardous,bulk carrier,11,205084,23,Low
832,PortC,PortY,1,4,6,96,1,20,1639,16,regular,congested areas,817,231325,non-compliant,yes,not in place,non-hazardous,bulk carrier,15,374778,15,Low
833,PortB,PortZ,0,2,1,81,1,20,1584,14,regular,clear,643,394397,non-compliant,yes,in place,hazardous,bulk carrier,6,510129,35,Medium
834,PortB,PortX,0,2,6,90,2,21,1598,12,regular,clear,868,438904,non-compliant,yes,not in place,hazardous,bulk carrier,13,330151,41,Medium
835,PortA,PortY,1,1,1,30,2,24,1394,17,regular,clear,677,345025,non-compliant,no,in place,hazardous,container,23,261810,29,Low
836,PortB,PortX,1,3,4,35,2,23,1069,13,irregular,clear,815,483348,non-compliant,yes,not in place,non-hazardous,container,15,368685,46,Medium
837,PortB,PortY,1,1,0,37,2,14,1719,18,regular,clear,981,314132,compliant,yes,in place,hazardous,bulk carrier,15,408911,25,Low
838,PortB,PortZ,0,0,6,48,1,9,1404,14,irregular,clear,697,282341,non-compliant,yes,not in place,hazardous,container,18,334363,21,Low
839,PortC,PortX,1,3,2,42,0,23,1327,18,irregular,clear,835,369139,non-compliant,no,not in place,non-hazardous,bulk carrier,16,490353,32,Medium
840,PortB,PortZ,0,2,0,49,1,14,1638,16,regular,clear,881,356830,non-compliant,no,in place,hazardous,container,10,268763,31,Medium
841,PortC,PortX,0,4,3,92,0,19,1421,14,regular,clear,748,427662,compliant,yes,not in place,hazardous,container,6,321303,39,Medium
842,PortB,PortY,1,4,0,38,2,15,1711,13,irregular,congested areas,903,306982,compliant,yes,not in place,non-hazardous,bulk carrier,11,379598,25,Low
843,PortB,PortX,0,0,1,29,1,12,1623,14,regular,clear,665,478912,compliant,no,in place,non-hazardous,bulk carrier,7,389296,46,Medium
844,PortC,PortX,0,1,3,29,2,22,1636,15,irregular,congested areas,833,525089,compliant,yes,in place,non-hazardous,bulk carrier,10,354722,52,Medium
845,PortC,PortZ,0,0,0,83,1,23,1226,15,regular,congested areas,686,357976,non-compliant,yes,in place,hazardous,container,7,222158,31,Medium
846,PortA,PortZ,0,4,3,21,2,17,1742,13,regular,clear,678,479166,compliant,yes,not in place,non-hazardous,container,10,583801,46,Medium
847,PortA,PortZ,1,2,2,34,0,9,1552,14,irregular,clear,804,281800,non-compliant,yes,in place,hazardous,bulk carrier,4,326403,21,Low
848,PortC,PortY,0,4,0,34,0,17,1426,15,regular,congested areas,878,454069,non-compliant,yes,in place,hazardous,container,8,361026,43,Medium
849,PortB,PortZ,1,3,6,13,0,21,1528,10,irregular,congested areas,936,454365,non-compliant,yes,not in place,non-hazardous,bulk carrier,14,411676,43,Medium
850,PortA,PortX,0,4,6,13,1,14,1144,15,irregular,clear,853,433392,compliant,no,not in place,non-hazardous,container,15,286349,40,Medium
851,PortC,PortY,0,4,5,18,0,20,1581,13,regular,congested areas,903,366539,non-compliant,yes,not in place,hazardous,bulk carrier,14,355692,32,Medium
852,PortC,PortZ,1,3,1,24,1,19,1294,12,irregular,clear,979,127774,compliant,yes,not in place,non-hazardous,container,10,282280,2,Low
853,PortB,PortX,0,1,3,35,0,22,1229,11,regular,clear,729,318239,non-compliant,no,not in place,non-hazardous,bulk carrier,12,391555,26,Low
854,PortC,PortX,0,4,5,88,0,20,1195,11,regular,congested areas,683,316046,compliant,no,not in place,hazardous,bulk carrier,21,322397,25,Low
855,PortA,PortY,0,0,5,99,1,16,1722,12,regular,clear,875,290583,compliant,no,in place,non-hazardous,bulk carrier,8,376871,23,Low
856,PortB,PortX,0,4,4,80,1,24,1374,13,irregular,congested areas,786,372046,non-compliant,no,in place,non-hazardous,container,20,245346,33,Medium
857,PortC,PortZ,0,0,3,41,0,19,1806,18,regular,clear,645,329838,non-compliant,yes,not in place,non-hazardous,bulk carrier,4,267108,27,Low
858,PortC,PortX,0,3,5,85,1,19,1392,13,regular,clear,986,294705,non-compliant,no,in place,hazardous,container,3,213485,23,Low
859,PortB,PortZ,1,4,4,61,0,16,1158,15,irregular,congested areas,782,279243,compliant,yes,in place,non-hazardous,bulk carrier,11,278946,21,Low
860,PortB,PortZ,1,3,5,41,1,18,1276,15,irregular,congested areas,867,297391,compliant,no,in place,non-hazardous,bulk carrier,11,92647,23,Low
861,PortB,PortY,1,3,1,18,2,16,1747,15,irregular,clear,895,455684,compliant,no,in place,hazardous,bulk carrier,6,319289,43,Medium
862,PortA,PortX,0,1,2,87,2,19,1468,14,irregular,clear,921,311946,non-compliant,no,not in place,hazardous,container,10,296575,25,Low
863,PortA,PortY,0,4,4,22,2,26,1390,12,regular,congested areas,699,327059,compliant,yes,not in place,hazardous,container,14,365091,27,Low
864,PortC,PortY,0,0,2,65,2,14,1532,17,regular,clear,677,331187,non-compliant,no,in place,hazardous,container,7,354460,27,Low
865,PortC,PortY,1,0,3,53,2,13,1600,18,regular,congested areas,871,400904,compliant,no,not in place,non-hazardous,bulk carrier,17,475707,36,Medium
866,PortB,PortZ,0,4,1,92,0,25,1723,11,regular,congested areas,938,416971,compliant,no,in place,hazardous,container,17,609431,38,Medium
867,PortC,PortZ,1,1,4,39,2,19,1789,12,irregular,congested areas,761,129615,compliant,yes,in place,hazardous,bulk carrier,18,463753,2,Low
868,PortC,PortZ,0,1,3,25,2,17,1428,14,irregular,clear,643,446965,non-compliant,yes,not in place,non-hazardous,bulk carrier,7,304689,42,Medium
869,PortB,PortZ,0,1,5,21,2,24,1234,13,regular,congested areas,837,479942,non-compliant,no,in place,hazardous,bulk carrier,8,300660,46,Medium
870,PortA,PortX,0,0,6,83,2,17,1417,16,irregular,clear,733,287828,non-compliant,yes,not in place,hazardous,bulk carrier,11,436866,22,Low
871,PortA,PortX,1,3,0,75,1,27,1552,13,irregular,congested areas,791,281299,compliant,no,not in place,non-hazardous,bulk carrier,10,181665,21,Low
872,PortA,PortZ,0,1,3,27,0,22,1307,19,irregular,clear,955,329903,compliant,yes,not in place,hazardous,container,10,318479,27,Low
873,PortC,PortZ,1,0,2,22,2,18,1308,17,irregular,clear,877,305828,compliant,no,not in place,hazardous,container,15,326184,24,Low
874,PortB,PortX,0,0,1,33,2,28,1568,15,irregular,congested areas,617,388334,compliant,yes,not in place,non-hazardous,bulk carrier,15,408413,35,Medium
875,PortA,PortY,0,3,1,21,2,17,1490,17,regular,congested areas,611,214847,non-compliant,no,not in place,non-hazardous,bulk carrier,7,411386,13,Low
876,PortC,PortY,1,4,3,69,0,22,1506,17,regular,congested areas,779,274342,compliant,yes,not in place,non-hazardous,container,6,275543,20,Low
877,PortB,PortZ,0,4,5,69,1,21,1348,13,irregular,clear,722,488563,compliant,yes,not in place,non-hazardous,bulk carrier,5,308562,47,Medium
878,PortA,PortY,0,1,0,95,0,25,1453,13,irregular,clear,845,295467,non-compliant,no,not in place,non-hazardous,bulk carrier,7,394510,23,Low
879,PortA,PortZ,0,1,2,10,1,26,1315,15,regular,clear,821,462979,non-compliant,no,in place,non-hazardous,bulk carrier,16,270107,44,Medium
880,PortB,PortZ,0,3,3,52,2,20,1678,16,regular,congested areas,972,401957,non-compliant,yes,not in place,non-hazardous,bulk carrier,12,470611,36,Medium
881,PortC,PortZ,1,1,3,64,2,16,1707,15,irregular,congested areas,650,225804,compliant,no,in place,non-hazardous,container,16,410917,14,Low
882,PortC,PortX,1,3,6,49,0,21,1130,11,irregular,congested areas,670,419183,non-compliant,no,not in place,non-hazardous,bulk carrier,3,367150,38,Medium
883,PortA,PortY,0,0,1,73,0,17,1314,13,irregular,congested areas,647,360041,compliant,no,in place,non-hazardous,container,13,389094,31,Medium
884,PortB,PortX,0,1,2,43,1,28,1200,14,regular,congested areas,618,328728,non-compliant,no,not in place,non-hazardous,container,13,303310,27,Low
885,PortC,PortY,1,0,0,43,1,20,1369,14,irregular,clear,861,383965,compliant,yes,not in place,non-hazardous,container,18,287370,34,Medium
886,PortB,PortX,0,2,1,57,0,18,1483,18,irregular,congested areas,683,403347,compliant,no,not in place,hazardous,container,9,307527,36,Medium
887,PortB,PortX,1,3,3,42,1,20,1210,12,irregular,clear,754,426607,compliant,yes,in place,non-hazardous,bulk carrier,9,399996,39,Medium
888,PortA,PortZ,0,2,1,77,0,14,1315,16,irregular,congested areas,652,462765,compliant,yes,in place,non-hazardous,bulk carrier,19,370101,44,Medium
889,PortB,PortZ,1,1,1,39,1,16,1299,17,irregular,congested areas,706,398037,compliant,no,not in place,non-hazardous,bulk carrier,11,307728,36,Medium
890,PortB,PortX,1,0,4,93,0,24,1541,19,irregular,congested areas,956,261197,compliant,no,in place,non-hazardous,container,12,424958,19,Low
891,PortB,PortY,1,1,1,99,0,17,1513,14,irregular,congested areas,903,328738,non-compliant,yes,not in place,non-hazardous,container,14,332605,27,Low
892,PortC,PortY,1,2,5,88,0,15,1355,15,irregular,congested areas,734,599477,compliant,no,in place,hazardous,container,3,280668,61,High
893,PortA,PortZ,0,1,1,80,1,22,1535,16,regular,clear,668,426730,compliant,no,in place,hazardous,bulk carrier,12,375434,39,Medium
894,PortA,PortZ,0,4,5,80,1,24,1390,15,regular,congested areas,610,551977,compliant,yes,in place,hazardous,bulk carrier,5,248697,55,Medium
895,PortB,PortY,1,2,2,38,1,22,1445,14,regular,clear,742,470698,compliant,yes,not in place,hazardous,bulk carrier,11,181277,45,Medium
896,PortB,PortY,1,1,1,32,0,23,1834,15,irregular,clear,791,386818,non-compliant,yes,in place,non-hazardous,container,10,349489,35,Medium
897,PortC,PortY,1,0,0,43,1,16,1768,9,regular,clear,986,388325,compliant,no,in place,hazardous,container,9,284258,35,Medium
898,PortA,PortZ,1,1,5,93,1,14,1240,16,regular,clear,977,363302,compliant,no,not in place,hazardous,bulk carrier,15,324584,31,Medium
899,PortC,PortY,0,0,5,24,0,26,1665,15,regular,congested areas,668,223641,non-compliant,yes,not in place,non-hazardous,container,12,253326,14,Low
900,PortA,PortZ,1,4,3,62,2,18,1662,14,regular,congested areas,622,374988,compliant,yes,in place,hazardous,container,6,470893,33,Medium
901,PortC,PortX,1,1,2,26,0,18,1270,19,regular,congested areas,780,461046,non-compliant,no,in place,hazardous,bulk carrier,6,283850,44,Medium
902,PortB,PortX,1,4,1,73,1,25,1663,13,irregular,congested areas,892,317368,compliant,no,not in place,non-hazardous,container,16,306800,26,Low
903,PortC,PortX,1,2,6,93,0,22,1807,14,regular,congested areas,608,402345,compliant,no,not in place,non-hazardous,container,11,387788,36,Medium
904,PortB,PortY,1,0,0,70,2,21,1275,18,irregular,clear,870,428744,non-compliant,yes,not in place,hazardous,bulk carrier,4,212338,40,Medium
905,PortA,PortZ,1,2,3,66,0,28,1316,13,irregular,congested areas,986,287472,non-compliant,no,not in place,non-hazardous,container,9,204945,22,Low
906,PortA,PortY,1,0,2,86,1,17,1703,13,regular,congested areas,692,333300,non-compliant,no,not in place,hazardous,container,11,388095,28,Low
907,PortB,PortZ,0,4,5,97,2,23,1554,14,irregular,clear,616,283842,compliant,yes,in place,non-hazardous,container,5,305505,22,Low
908,PortA,PortY,1,3,0,46,1,20,1610,16,regular,congested areas,753,297219,non-compliant,no,not in place,hazardous,container,8,259850,23,Low
909,PortC,PortX,1,1,1,16,2,21,1568,15,irregular,congested areas,927,267508,non-compliant,yes,not in place,hazardous,bulk carrier,16,410337,20,Low
910,PortB,PortZ,1,4,6,17,2,26,1578,12,irregular,clear,748,291404,compliant,no,in place,hazardous,bulk carrier,24,268807,23,Low
911,PortA,PortY,0,0,4,96,0,22,1234,13,regular,congested areas,976,479683,compliant,yes,not in place,non-hazardous,container,13,322548,46,Medium
912,PortC,PortZ,0,0,4,87,0,22,1709,13,irregular,clear,866,289781,compliant,yes,not in place,non-hazardous,bulk carrier,5,260386,22,Low
